"""Taxon"",""Estimated_Spatiotemporal_probability"",""Number_of_records"",""Max_probability"",""Min_probability"""
"""Allium savii Parl."",95.1,4,70.9,22"
"""Anredera cordifolia (Ten.) Steenis"",90.2,1,90.2,90.2"
"""Arbutus unedo L."",100,39,100,15.2"
"""Artemisia verlotiorum Lamotte"",100,23,99.8,3.2"
"""Calluna vulgaris (L.) Hull"",100,21,97.6,2.9"
"""Cervaria rivinii Gaertn."",100,7,97.6,0.7"
"""Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz"",78.4,3,74.5,0.7"
"""Colchicum lusitanum Brot."",100,10,97.6,4.8"
"""Colchicum neapolitanum (Ten.) Ten. subsp. Neapolitanum"",92.3,8,72.2,0.7"
"""Cyclamen hederifolium Aiton subsp. hederifolium"",100,18,99.1,0.2"
"""Digitaria ciliaris (Retz.) Koeler"",90.2,2,85.6,31.9"
"""Digitaria debilis (Desf.) Willd."",96.9,8,69.4,0.7"
"""Dittrichia viscosa (L.) Greuter subsp. viscosa"",100,33,100,0.7"
"""Dysphania ambrosioides (L.) Mosyakin & Clemants"",77.4,8,52.1,0.7"
"""Euphorbia dendroides L."",100,6,98.5,96.7"
"""Galatella pannonica (Jacq.) Galasso, Bartolucci & Ardenghi subsp. tripolium (L.) Galasso, Bartolucci & Ardenghi"",100,12,97.1,4.8"
"""Hedera helix L. subsp. helix"",100,123,100,0.2"
"""Helianthus pauciflorus Nutt."",95.6,1,95.6,95.6"
"""Helianthus tuberosus L."",100,8,98.7,26.9"
"""Hieracium racemosum Waldst. & Kit. ex Willd."",100,4,97.6,26.9"
"""Hieracium sabaudum L.""ù,100,7,99.8,1.4"
"""Leersia oryzoides (L.) Sw."",79.9,4,55.5,3.7"
"""Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch"",100,8,97.6,0.7"
"""Odontites luteus (L.) Clairv. subsp. luteus"",100,12,99.1,0.7"
"""Oenothera biennis L."",100,31,95.8,1.3"
"""Oenothera chicaginensis de Vries ex Renner & Cleland"",100,10,99.3,26.3"
"""Oenothera italica Rostanski & Soldano"",91.8,4,85,3.5"
"""Oenothera stucchii Soldano"",100,9,98,27.2"
"""Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch"",97.8,4,83.3,35.2"
"""Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch"",100,4,98.9,8.7"
"""Prospero autumnale (L.) Speta"",100,14,99.8,0.7"
"""Salicornia perennans Willd. subsp. perennans"",100,22,98.5,49.8"
"""Seseli tortuosum L. subsp. tortuosum"",100,26,97.6,2.7"
"""Smilax aspera L."",100,95,100,0.7"
"""Solanum chenopodioides Lam."",100,13,99.6,67.1"
"""Spiranthes spiralis (L.) Chevall."",100,29,99.8,0.7"
"""Sternbergia lutea (L.) Ker Gawl. ex Spreng."",100,8,97.6,43"
"""Symphyotrichum ×salignum (Willd.) G.L.Nesom"",85.2,2,77.9,32.9"
"""Symphyotrichum squamatum (Spreng.) G.L.Nesom"",100,29,99.8,1"
"""Tradescantia fluminensis Vell."",100,10,99.6,90.7"
