;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.140133739;0.10661447;0.122272968;0.119231328;0.0232348;0.015171409;0.10048373;0.024223685;0.079227298;0.149200216;0.039838254
2;0.140133739;0;0.033519268;0.01786077;0.02090241;0.163368538;0.155305147;0.039650008;0.164357424;0.219361037;0.289333954;0.179971993
3;0.10661447;0.033519268;0;0.015658498;0.012616858;0.12984927;0.121785879;0.00613074;0.130838156;0.185841769;0.255814686;0.146452725
4;0.122272968;0.01786077;0.015658498;0;0.00304164;0.145507768;0.137444377;0.021789238;0.146496654;0.201500267;0.271473184;0.162111223
5;0.119231328;0.02090241;0.012616858;0.00304164;0;0.142466128;0.134402737;0.018747598;0.143455014;0.198458627;0.268431544;0.159069583
6;0.0232348;0.163368538;0.12984927;0.145507768;0.142466128;0;0.008063391;0.12371853;0.000988886;0.055992499;0.125965416;0.016603455
7;0.015171409;0.155305147;0.121785879;0.137444377;0.134402737;0.008063391;0;0.115655139;0.009052277;0.06405589;0.134028807;0.024666846
8;0.10048373;0.039650008;0.00613074;0.021789238;0.018747598;0.12371853;0.115655139;0;0.124707416;0.179711029;0.249683946;0.140321985
9;0.024223685;0.164357424;0.130838156;0.146496654;0.143455014;0.000988886;0.009052277;0.124707416;0;0.055003613;0.124976531;0.015614569
10;0.079227298;0.219361037;0.185841769;0.201500267;0.198458627;0.055992499;0.06405589;0.179711029;0.055003613;0;0.069972917;0.039389044
11;0.149200216;0.289333954;0.255814686;0.271473184;0.268431544;0.125965416;0.134028807;0.249683946;0.124976531;0.069972917;0;0.109361961
12;0.039838254;0.179971993;0.146452725;0.162111223;0.159069583;0.016603455;0.024666846;0.140321985;0.015614569;0.039389044;0.109361961;0
MAX;0.149200216;0.289333954;0.255814686;0.271473184;0.268431544;0.163368538;0.155305147;0.249683946;0.164357424;0.219361037;0.289333954;0.179971993
;;;;;;;;;;;;
;;;;;;;;;;;;
;Plot;1;2;3;4;5;6;7;8;9;10;11
;plot1;2;11;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
